Image Size,Threads,GPU Time (s),CPU Time (s)
2000x2000,1,6.576982259750366,50.18725085258484
2000x2000,4,2.6963818073272705,17.718873500823975
2000x2000,8,2.4732518196105957,11.550484895706177
2000x2000,16,2.3256194591522217,13.952128887176514
3000x3000,1,8.149657011032104,101.03217053413391
3000x3000,4,5.882972478866577,35.396806955337524
3000x3000,8,6.047399997711182,28.753965139389038
3000x3000,16,4.37553858757019,24.37337565422058
4000x4000,1,13.731564283370972,184.03881788253784
4000x4000,4,9.13134503364563,59.50980615615845
4000x4000,8,6.100465297698975,45.35458779335022
4000x4000,16,6.126968622207642,43.15042734146118
7000x7000,1,39.07607698440552,562.1133477687836
7000x7000,4,31.397982835769653,186.34470415115356
7000x7000,8,19.405315160751343,147.62391686439514
7000x7000,16,34.487576723098755,139.9650444984436
8500x8500,1,74.56124711036682,811.8601236343384
8500x8500,4,83.80800676345825,285.04857206344604
8500x8500,8,87.96692609786987,211.7392566204071
8500x8500,16,85.51656937599182,202.5649905204773
5184x3456,1,6.932292461395264,212.98239517211914
5184x3456,4,8.31010627746582,67.06103992462158
5184x3456,8,6.158467769622803,55.22846961021423
5184x3456,16,7.153079271316528,48.907490491867065
800x600,1,1.300508975982666,5.900558948516846
800x600,4,1.2555246353149414,2.1974079608917236
800x600,8,1.1908724308013916,1.9651708602905273
800x600,16,1.1948697566986084,2.0825307369232178
720x540,1,1.1485645771026611,4.187431812286377
720x540,4,1.234682559967041,1.591792345046997
720x540,8,1.1616244316101074,1.21250581741333
720x540,16,1.1818716526031494,1.740997314453125
